температура печи
1.6666667535901e-02 1.0024999618530e+01 0.0000000000000e+00
3.3333335071802e-02 1.0049999237061e+01 0.0000000000000e+00
5.0000000745058e-02 1.0074998855591e+01 0.0000000000000e+00
6.6666670143604e-02 1.0099998474121e+01 0.0000000000000e+00
8.3333335816860e-02 1.0124998092651e+01 0.0000000000000e+00
1.0000000149012e-01 1.0149997711182e+01 0.0000000000000e+00
1.1666666716337e-01 1.0174997329712e+01 0.0000000000000e+00
1.3333334028721e-01 1.0199996948242e+01 0.0000000000000e+00
1.5000000596046e-01 1.0224996566772e+01 0.0000000000000e+00
1.6666667163372e-01 1.0249996185303e+01 0.0000000000000e+00
1.8333333730698e-01 1.0274995803833e+01 0.0000000000000e+00
2.0000000298023e-01 1.0299995422363e+01 0.0000000000000e+00
2.1666666865349e-01 1.0324995040894e+01 0.0000000000000e+00
2.3333333432674e-01 1.0349994659424e+01 0.0000000000000e+00
2.5000000000000e-01 1.0374994277954e+01 0.0000000000000e+00
2.6666668057442e-01 1.0399993896484e+01 0.0000000000000e+00
2.8333333134651e-01 1.0424993515015e+01 0.0000000000000e+00
3.0000001192093e-01 1.0449993133545e+01 0.0000000000000e+00
3.1666666269302e-01 1.0474992752075e+01 0.0000000000000e+00
3.3333334326744e-01 1.0499992370605e+01 0.0000000000000e+00
3.4999999403954e-01 1.0524991989136e+01 0.0000000000000e+00
3.6666667461395e-01 1.0549991607666e+01 0.0000000000000e+00
3.8333332538605e-01 1.0574991226196e+01 0.0000000000000e+00
4.0000000596046e-01 1.0599990844727e+01 0.0000000000000e+00
4.1666665673256e-01 1.0624990463257e+01 0.0000000000000e+00
4.3333333730698e-01 1.0649990081787e+01 0.0000000000000e+00
4.4999998807907e-01 1.0674989700317e+01 0.0000000000000e+00
4.6666666865349e-01 1.0699989318848e+01 0.0000000000000e+00
4.8333331942558e-01 1.0724988937378e+01 0.0000000000000e+00
5.0000000000000e-01 1.0749988555908e+01 0.0000000000000e+00
5.1666665077209e-01 1.0774988174438e+01 0.0000000000000e+00
5.3333336114883e-01 1.0799987792969e+01 0.0000000000000e+00
5.5000001192093e-01 1.0824987411499e+01 0.0000000000000e+00
5.6666666269302e-01 1.0849987030029e+01 0.0000000000000e+00
5.8333331346512e-01 1.0874986648560e+01 0.0000000000000e+00
6.0000002384186e-01 1.0899986267090e+01 0.0000000000000e+00
6.1666667461395e-01 1.0924985885620e+01 0.0000000000000e+00
6.3333332538605e-01 1.0949985504150e+01 0.0000000000000e+00
6.4999997615814e-01 1.0974985122681e+01 0.0000000000000e+00
6.6666668653488e-01 1.0999984741211e+01 0.0000000000000e+00
6.8333333730698e-01 1.1024984359741e+01 0.0000000000000e+00
6.9999998807907e-01 1.1049983978271e+01 0.0000000000000e+00
7.1666663885117e-01 1.1074983596802e+01 0.0000000000000e+00
7.3333334922791e-01 1.1099983215332e+01 0.0000000000000e+00
7.5000000000000e-01 1.1124982833862e+01 0.0000000000000e+00
7.6666665077209e-01 1.1149982452393e+01 0.0000000000000e+00
7.8333336114883e-01 1.1174982070923e+01 0.0000000000000e+00
8.0000001192093e-01 1.1199981689453e+01 0.0000000000000e+00
8.1666666269302e-01 1.1224981307983e+01 0.0000000000000e+00
8.3333331346512e-01 1.1249980926514e+01 0.0000000000000e+00
8.5000002384186e-01 1.1274980545044e+01 0.0000000000000e+00
8.6666667461395e-01 1.1299980163574e+01 0.0000000000000e+00
8.8333332538605e-01 1.1324979782104e+01 0.0000000000000e+00
8.9999997615814e-01 1.1349979400635e+01 0.0000000000000e+00
9.1666668653488e-01 1.1374979019165e+01 0.0000000000000e+00
9.3333333730698e-01 1.1399978637695e+01 0.0000000000000e+00
9.4999998807907e-01 1.1424978256226e+01 0.0000000000000e+00
9.6666663885117e-01 1.1449977874756e+01 0.0000000000000e+00
9.8333334922791e-01 1.1474977493286e+01 0.0000000000000e+00
1.0000000000000e+00 1.1499977111816e+01 0.0000000000000e+00
1.0166666507721e+00 1.1524976730347e+01 0.0000000000000e+00
1.0333333015442e+00 1.1549976348877e+01 0.0000000000000e+00
1.0499999523163e+00 1.1574975967407e+01 0.0000000000000e+00
1.0666667222977e+00 1.1599975585938e+01 0.0000000000000e+00
1.0833333730698e+00 1.1624975204468e+01 0.0000000000000e+00
1.1000000238419e+00 1.1649974822998e+01 0.0000000000000e+00
1.1166666746140e+00 1.1674974441528e+01 0.0000000000000e+00
1.1333333253860e+00 1.1699974060059e+01 0.0000000000000e+00
1.1499999761581e+00 1.1724973678589e+01 0.0000000000000e+00
1.1666666269302e+00 1.1749973297119e+01 0.0000000000000e+00
1.1833332777023e+00 1.1774972915649e+01 0.0000000000000e+00
1.2000000476837e+00 1.1799972534180e+01 0.0000000000000e+00
1.2166666984558e+00 1.1824972152710e+01 0.0000000000000e+00
1.2333333492279e+00 1.1849971771240e+01 0.0000000000000e+00
1.2500000000000e+00 1.1874971389771e+01 0.0000000000000e+00
1.2666666507721e+00 1.1899971008301e+01 0.0000000000000e+00
1.2833333015442e+00 1.1924970626831e+01 0.0000000000000e+00
1.2999999523163e+00 1.1949970245361e+01 0.0000000000000e+00
1.3166667222977e+00 1.1974969863892e+01 0.0000000000000e+00
1.3333333730698e+00 1.1999969482422e+01 0.0000000000000e+00
1.3500000238419e+00 1.2024969100952e+01 0.0000000000000e+00
1.3666666746140e+00 1.2049968719482e+01 0.0000000000000e+00
1.3833333253860e+00 1.2074968338013e+01 0.0000000000000e+00
1.3999999761581e+00 1.2099967956543e+01 0.0000000000000e+00
1.4166666269302e+00 1.2124967575073e+01 0.0000000000000e+00
1.4333332777023e+00 1.2149967193604e+01 0.0000000000000e+00
1.4500000476837e+00 1.2174966812134e+01 0.0000000000000e+00
1.4666666984558e+00 1.2199966430664e+01 0.0000000000000e+00
1.4833333492279e+00 1.2224966049194e+01 0.0000000000000e+00
1.5000000000000e+00 1.2249965667725e+01 0.0000000000000e+00
1.5166666507721e+00 1.2274965286255e+01 0.0000000000000e+00
1.5333333015442e+00 1.2299964904785e+01 0.0000000000000e+00
1.5499999523163e+00 1.2324964523315e+01 0.0000000000000e+00
1.5666667222977e+00 1.2349964141846e+01 0.0000000000000e+00
1.5833333730698e+00 1.2374963760376e+01 0.0000000000000e+00
1.6000000238419e+00 1.2399963378906e+01 0.0000000000000e+00
1.6166666746140e+00 1.2424962997437e+01 0.0000000000000e+00
1.6333333253860e+00 1.2449962615967e+01 0.0000000000000e+00
1.6499999761581e+00 1.2474962234497e+01 0.0000000000000e+00
1.6666666269302e+00 1.2499961853027e+01 0.0000000000000e+00
1.6833332777023e+00 1.2524961471558e+01 0.0000000000000e+00
1.7000000476837e+00 1.2549961090088e+01 0.0000000000000e+00
1.7166666984558e+00 1.2574960708618e+01 0.0000000000000e+00
1.7333333492279e+00 1.2599960327148e+01 0.0000000000000e+00
1.7500000000000e+00 1.2624959945679e+01 0.0000000000000e+00
1.7666666507721e+00 1.2649959564209e+01 0.0000000000000e+00
1.7833333015442e+00 1.2674959182739e+01 0.0000000000000e+00
1.7999999523163e+00 1.2699958801270e+01 0.0000000000000e+00
1.8166667222977e+00 1.2724958419800e+01 0.0000000000000e+00
1.8333333730698e+00 1.2749958038330e+01 0.0000000000000e+00
1.8500000238419e+00 1.2774957656860e+01 0.0000000000000e+00
1.8666666746140e+00 1.2799957275391e+01 0.0000000000000e+00
1.8833333253860e+00 1.2824956893921e+01 0.0000000000000e+00
1.8999999761581e+00 1.2849956512451e+01 0.0000000000000e+00
1.9166666269302e+00 1.2874956130981e+01 0.0000000000000e+00
1.9333332777023e+00 1.2899955749512e+01 0.0000000000000e+00
1.9500000476837e+00 1.2924955368042e+01 0.0000000000000e+00
1.9666666984558e+00 1.2949954986572e+01 0.0000000000000e+00
1.9833333492279e+00 1.2974954605103e+01 0.0000000000000e+00
2.0000000000000e+00 1.2999954223633e+01 0.0000000000000e+00
2.0166666507721e+00 1.3024953842163e+01 0.0000000000000e+00
2.0333333015442e+00 1.3049953460693e+01 0.0000000000000e+00
2.0499999523163e+00 1.3074953079224e+01 0.0000000000000e+00
2.0666666030884e+00 1.3099952697754e+01 0.0000000000000e+00
2.0833332538605e+00 1.3124952316284e+01 0.0000000000000e+00
2.0999999046326e+00 1.3149951934814e+01 0.0000000000000e+00
2.1166665554047e+00 1.3174951553345e+01 0.0000000000000e+00
2.1333334445953e+00 1.3199951171875e+01 0.0000000000000e+00
2.1500000953674e+00 1.3224950790405e+01 0.0000000000000e+00
2.1666667461395e+00 1.3249950408936e+01 0.0000000000000e+00
2.1833333969116e+00 1.3274950027466e+01 0.0000000000000e+00
2.2000000476837e+00 1.3299949645996e+01 0.0000000000000e+00
2.2166666984558e+00 1.3324949264526e+01 0.0000000000000e+00
2.2333333492279e+00 1.3349948883057e+01 0.0000000000000e+00
2.2500000000000e+00 1.3374948501587e+01 0.0000000000000e+00
2.2666666507721e+00 1.3399948120117e+01 0.0000000000000e+00
2.2833333015442e+00 1.3424947738647e+01 0.0000000000000e+00
2.2999999523163e+00 1.3449947357178e+01 0.0000000000000e+00
2.3166666030884e+00 1.3474946975708e+01 0.0000000000000e+00
2.3333332538605e+00 1.3499946594238e+01 0.0000000000000e+00
2.3499999046326e+00 1.3524946212769e+01 0.0000000000000e+00
2.3666665554047e+00 1.3549945831299e+01 0.0000000000000e+00
2.3833334445953e+00 1.3574945449829e+01 0.0000000000000e+00
2.4000000953674e+00 1.3599945068359e+01 0.0000000000000e+00
2.4166667461395e+00 1.3624944686890e+01 0.0000000000000e+00
2.4333333969116e+00 1.3649944305420e+01 0.0000000000000e+00
2.4500000476837e+00 1.3674943923950e+01 0.0000000000000e+00
2.4666666984558e+00 1.3699943542480e+01 0.0000000000000e+00
2.4833333492279e+00 1.3724943161011e+01 0.0000000000000e+00
2.5000000000000e+00 1.3749942779541e+01 0.0000000000000e+00
2.5166666507721e+00 1.3774942398071e+01 0.0000000000000e+00
2.5333333015442e+00 1.3799942016602e+01 0.0000000000000e+00
2.5499999523163e+00 1.3824941635132e+01 0.0000000000000e+00
2.5666666030884e+00 1.3849941253662e+01 0.0000000000000e+00
2.5833332538605e+00 1.3874940872192e+01 0.0000000000000e+00
2.5999999046326e+00 1.3899940490723e+01 0.0000000000000e+00
2.6166665554047e+00 1.3924940109253e+01 0.0000000000000e+00
2.6333334445953e+00 1.3949939727783e+01 0.0000000000000e+00
2.6500000953674e+00 1.3974939346313e+01 0.0000000000000e+00
2.6666667461395e+00 1.3999938964844e+01 0.0000000000000e+00
2.6833333969116e+00 1.4024938583374e+01 0.0000000000000e+00
2.7000000476837e+00 1.4049938201904e+01 0.0000000000000e+00
2.7166666984558e+00 1.4074937820435e+01 0.0000000000000e+00
2.7333333492279e+00 1.4099937438965e+01 0.0000000000000e+00
2.7500000000000e+00 1.4124937057495e+01 0.0000000000000e+00
2.7666666507721e+00 1.4149936676025e+01 0.0000000000000e+00
2.7833333015442e+00 1.4174936294556e+01 0.0000000000000e+00
2.7999999523163e+00 1.4199935913086e+01 0.0000000000000e+00
2.8166666030884e+00 1.4224935531616e+01 0.0000000000000e+00
2.8333332538605e+00 1.4249935150146e+01 0.0000000000000e+00
2.8499999046326e+00 1.4274934768677e+01 0.0000000000000e+00
2.8666665554047e+00 1.4299934387207e+01 0.0000000000000e+00
2.8833334445953e+00 1.4324934005737e+01 0.0000000000000e+00
2.9000000953674e+00 1.4349933624268e+01 0.0000000000000e+00
2.9166667461395e+00 1.4374933242798e+01 0.0000000000000e+00
2.9333333969116e+00 1.4399932861328e+01 0.0000000000000e+00
